transaction_id,user_id,transaction_amount,transaction_timestamp,user_location,merchant_location,merchant_category,device_id,device_type,payment_method,account_balance,transaction_status,ip_address,amt,avg_amount,amount_deviation,device_count,is_new_device,location_count,is_new_location,hour,is_night,amount_anomaly,invalid_ip,missing_payment,invalid_location,location_mismatch,time_anomaly,pattern_flag,risk_score,risk_level,predicted,anomaly_count,final_score,fraud,confidence,explanation,fraud_type
TXN-BC3806284B2F,USR0001,373.2334915141155,2024-04-01 13:07:18.827444,delhi,delhi,Food & Dining,DEV-CEAEBD15,ATM,Card,57783.9,success,192.27.174.84,,390.5873314978037,0.9531296379954745,0.0,1,0,1,13.0,0,False,False,False,False,False,False,False,40,Medium,1,0,50.0,0,100.0,"New device used, New location","New Device, New Location"
TXN-1CFEBE1835BA,USR0001,358.0798002108629,2024-04-02 04:53:00.000000,delhi,del,Food & Dining,DEV-CEAEBD15,ATM,UPI,57425.82,success,,,390.5873314978037,0.9144315237196873,1.0,0,1,0,4.0,1,False,False,False,False,True,True,False,20,Low,1,2,43.6,0,100.0,Unusual time (night),Night Activity
TXN-B2F3A5F053BC,USR0001,358.0,2024-04-04 02:44:00.000000,delhi,new delhi,Groce#,DEV-CEAEBD15,ATM,Card,57067.74,success,192.27.174.126,,390.5873314978037,0.9142277372219022,2.0,0,2,0,2.0,1,False,False,False,False,True,True,False,20,Low,1,2,43.6,0,100.0,Unusual time (night),Night Activity
TXN-8E4F07913EFA,USR0001,644.65,2024-04-04 06:15:03.000000,del,delhi,Entertainment,DEV-CE...,ATM,Card,56423.09,success,192.27.174.122,,390.5873314978037,1.6462483541902215,0.0,1,0,1,6.0,0,False,False,False,False,True,False,False,40,Medium,1,1,51.8,0,100.0,"New device used, New location","New Device, New Location"
TXN-E8333D1E96ED,USR0001,516.36,2024-04-05 02:12:00.000000,new delhi,new delhi,Electronics,DEV-CEAEBD15,ATM,Card,56423.09,pending,192.27.174.79,,390.5873314978037,1.3186330569606186,3.0,0,0,1,2.0,1,False,False,False,False,False,True,False,40,Medium,1,1,51.8,0,100.0,"New location, Unusual time (night)","New Location, Night Activity"
TXN-B2B195A4BC69,USR0001,433.3220490015315,2024-04-08 13:46:03.547106,mumbai,mumbai,Electronics,DEV-CEAEBD15,ATM,Card,55188.05,success,192.27.174.223,,390.5873314978037,1.1065783138185152,4.0,0,0,1,13.0,0,False,False,False,False,False,False,False,20,Low,1,0,40.0,0,100.0,New location,New Location
TXN-61C57A3763E6,USR0001,92.72,2024-04-11 15:58:36.297260,delhi,delhi,Clothing,DEV-CEAEBD15,ATM,Card,55095.33,success,192.27.174.248,,390.5873314978037,0.2367798765229463,5.0,0,3,0,15.0,0,False,False,False,False,False,False,False,0,Low,1,0,30.0,0,100.0,Normal transaction,Normal
TXN-00A7AB9C0434,USR0001,235.02,2024-04-11 20:20:15.611788,ahmedabad,amd,Healthcare,DEV-CEAEBD15,ATM,Card,54860.3,success,192.27.174.39,,390.5873314978037,0.6001726335248365,6.0,0,0,1,20.0,0,False,False,False,False,True,False,False,20,Low,1,1,41.8,0,100.0,New location,New Location
TXN-6EDB0A2E8B1C,USR0001,444.75,2024-04-11 23:32:33.000000,delhi,delhi,Clothing,DEV-CEAEBD15,ATM,Card,54415.56,success,192.27.174.199,,390.5873314978037,1.1357619724286063,7.0,0,4,0,23.0,1,False,False,False,False,False,True,False,20,Low,1,1,41.8,0,100.0,Unusual time (night),Night Activity
TXN-0AF11055F02A,USR0001,626.7055779684548,2024-04-15 13:38:07.517298,new delhi,del,Food & Dining,DEV-CEAEBD15,ATM,Card,53788.85,success,132.104.x.18,,390.5873314978037,1.6004235263978908,8.0,0,1,0,13.0,0,False,False,False,False,True,False,False,0,Low,1,1,31.8,0,100.0,Normal transaction,Normal
TXN-1559D59C9330,USR0001,359.40365904384936,2024-04-17 00:59:41.105339,del,del,Fuel,DEV-CEAEBD15,ATM,Card,53429.45,success,192.27.174.20,,390.5873314978037,0.9178122736227108,9.0,0,1,0,0.0,1,False,False,False,False,False,True,False,20,Low,1,1,41.8,0,100.0,Unusual time (night),Night Activity
TXN-F4F8822BB477,USR0001,309.05315279467817,2024-04-17 22:32:59.526145,delhi,new delhi,Clothing,DEV-CEAEBD15,ATM,Card,53120.4,success,192.27.174.73,,390.5873314978037,0.789231744583166,10.0,0,5,0,22.0,0,False,False,False,False,True,False,False,0,Low,1,1,31.8,0,100.0,Normal transaction,Normal
TXN-AEDC46E50C49,USR0001,412.61338206207245,2024-04-18 01:12:29.197589,delhi,kolkata,Electronics,DEV-CEAEBD15,ATM,Card,52707.78,success,192.27.174.206,,390.5873314978037,1.0536944095812422,11.0,0,6,0,1.0,1,False,False,False,False,True,True,False,20,Low,1,2,43.6,0,100.0,Unusual time (night),Night Activity
TXN-8FB0D389642C,USR0001,300.1628,2024-04-19 05:31:00.000000,delhi,delhi,Utilities,DEV-CEAEBD15,mobile,Card,52407.62,success,192.27.174.203,,390.5873314978037,0.7665283727435486,12.0,0,7,0,5.0,1,False,False,False,False,False,True,False,20,Low,1,1,41.8,0,100.0,Unusual time (night),Night Activity
TXN-37D822E60E11,USR0001,392.95,2024-04-23 00:00:00.000000,calcutta,lucknow,Utilities,DEV-CEAEBD15,ATM,Card,51665.68,success,192.27.174.59,,390.5873314978037,1.0034798584953812,13.0,0,0,1,0.0,1,False,False,False,False,True,True,False,40,Medium,1,2,53.6,0,100.0,"New location, Unusual time (night)","New Location, Night Activity"
TXN-D514D89B7430,USR0001,348.9864901080281,2024-04-23 00:59:20.000000,del,delhi,Clothing,DEV-CEAEBD15,ATM,NetBanking,52058.63,success,192.27.174.129,,390.5873314978037,0.8912098580236768,14.0,0,2,0,0.0,1,False,False,False,False,True,True,False,20,Low,1,2,43.6,0,100.0,Unusual time (night),Night Activity
TXN-2673E518CFDB,USR0001,227.93,2024-04-27 16:25:29.663464,del,del,Clothing,DEV-CEAEBD15,ATM,Card,51665.68,failed,192.27.174.121,,390.5873314978037,0.5820668383938218,15.0,0,3,0,16.0,0,False,False,False,False,False,False,False,0,Low,1,0,30.0,0,100.0,Normal transaction,Normal
TXN-E354E4217F1F,USR0001,525.07,2024-05-01 09:37:33.240547,delhi,del,Fuel,DEV-CEAEBD15,ATM,Card,51140.61,success,192.27.174.24,,390.5873314978037,1.3408758602880007,16.0,0,8,0,9.0,0,False,False,False,False,True,False,False,0,Low,1,1,31.8,0,100.0,Normal transaction,Normal
TXN-851C471E2E36,USR0001,202.0,2024-05-02 00:13:16.000000,delhi,jaipur,Grocery,DEV-CEAEBD15,ATM,NetBanking,50938.46,success,192.27.174.170,,390.5873314978037,0.5158491701643135,17.0,0,9,0,0.0,1,False,False,False,False,True,True,False,20,Low,1,2,43.6,0,100.0,Unusual time (night),Night Activity
TXN-FD97B26A7F87,USR0001,0.0,2024-05-02 22:03:38.523540,delhi,ahmedabad,Fuel,DEV-CEAEBD15,ATM,UPI,50938.46,pending,192.27.174.169,,390.5873314978037,0.0,18.0,0,10,0,22.0,0,False,False,False,False,True,False,False,0,Low,1,1,31.8,0,100.0,Normal transaction,Normal
TXN-4A7010CE412C,USR0001,426.0,2024-05-03 00:04:00.933028,delhi,del,Healthcare,DEV-CEAEBD15,ATM,Card,50512.26,success,192.27.174.69,,390.5873314978037,1.0878799331187998,19.0,0,11,0,0.0,1,False,False,False,False,True,True,False,20,Low,1,2,43.6,0,100.0,Unusual time (night),Night Activity
TXN-938D5D626B6C,USR0001,320.8911839382214,2024-07-04 00:11:47.000000,delhi,delhi,Education,DEV-CEAEBD15,ATM,NetBanking,56102.2,success,192.27.174.186,,390.5873314978037,0.8194626284533446,20.0,0,12,0,0.0,1,False,False,False,False,False,True,False,20,Low,1,1,41.8,0,100.0,Unusual time (night),Night Activity
TXN-1ACA3AA98DFD,USR0001,480.82658392811084,2024-08-04 08:53:43.000000,new delhi,new delhi,Education,DEV-CEAEBD15,ATM,Card,55621.37,success,192.27.174.78,,390.5873314978037,1.2278910609517706,21.0,0,2,0,8.0,0,False,False,False,False,False,False,False,0,Low,1,0,30.0,0,100.0,Normal transaction,Normal
TXN-2D9B4EAD3647,USR0001,511.7863905782768,,delhi,del,Travel,DEV-CEAEBD15,ATM,,50000.48,success,192.27.174.205,511.7863905782768,390.5873314978037,1.3069533905009572,22.0,0,13,0,,0,False,False,True,False,True,False,False,0,Low,1,2,33.6,0,100.0,Normal transaction,Normal
TXN-BFAB1556A909,USR0001,473.5813947990873,,de...,delhi,Clo...,DEV-CEAEBD15,ATM,Card,58157.14,success,192.168..1,,390.5873314978037,1.2093889579820167,23.0,0,0,1,,0,False,False,False,False,True,False,False,20,Low,1,1,41.8,0,100.0,New location,New Location
TXN-D1437A6A4A1C,USR0002,938.3158589517042,2024-03-02 13:00:00.000000,jaipur,bengaluru,Clothing,DEV-5E5EBD15,mobile,UPI,86336.44,success,192.60.130.119,,2483.977527533903,0.3775953096376251,0.0,1,0,1,13.0,0,False,False,False,False,True,False,False,40,Medium,1,1,51.8,0,100.0,"New device used, New location","New Device, New Location"
TXN-665833DD7594,USR0002,837.5015327191229,2024-03-06 14:08:18.013223,jaipur,jai,Education,DEV-5E5EBD15,mobile,UPI,85498.94,success,192.60.130.121,,2483.977527533903,0.3370257973923254,1.0,0,1,0,14.0,0,False,False,False,False,True,False,False,0,Low,1,1,31.8,0,100.0,Normal transaction,Normal
TXN-6A7A083055A9,USR0002,772.0,2024-03-06 19:45:46.088324,jaipur,jai,Healthcare,DEV-5E5EBD15,web,Wallet,84726.58,success,192.60.130.88,,2483.977527533903,0.3106667933396301,2.0,0,2,0,19.0,0,False,False,False,False,True,False,False,0,Low,1,1,31.8,0,100.0,Normal transaction,Normal
TXN-6B968E8BA06C,USR0002,716.323914158053,2024-03-09 09:36:20.000000,jaipur,jaipur,Education,DEV-5E5EBD15,ATM,Wallet,84010.25,success,192.60.130.222,,2483.977527533903,0.2882617272072212,3.0,0,3,0,9.0,0,False,False,False,False,False,False,False,0,Low,1,0,30.0,0,100.0,Normal transaction,Normal
